sequence,url,product_id
1,https://github.com/Pbang91/cakooimage/blob/main/images/info_images/info1.jpeg?raw=true,2
2,https://github.com/Pbang91/cakooimage/blob/main/images/info_images/info2.jpeg?raw=true,2
3,https://github.com/Pbang91/cakooimage/blob/main/images/info_images/info3.jpeg?raw=true,2
4,https://github.com/Pbang91/cakooimage/blob/main/images/info_images/info4.jpeg?raw=true,2
1,https://github.com/Pbang91/cakooimage/blob/main/images/info_images/info1.jpeg?raw=true,3
2,https://github.com/Pbang91/cakooimage/blob/main/images/info_images/info2.jpeg?raw=true,3
3,https://github.com/Pbang91/cakooimage/blob/main/images/info_images/info3.jpeg?raw=true,3
4,https://github.com/Pbang91/cakooimage/blob/main/images/info_images/info4.jpeg?raw=true,3
1,https://github.com/Pbang91/cakooimage/blob/main/images/info_images/info1.jpeg?raw=true,4
2,https://github.com/Pbang91/cakooimage/blob/main/images/info_images/info2.jpeg?raw=true,4
3,https://github.com/Pbang91/cakooimage/blob/main/images/info_images/info3.jpeg?raw=true,4
4,https://github.com/Pbang91/cakooimage/blob/main/images/info_images/info4.jpeg?raw=true,4
1,https://github.com/Pbang91/cakooimage/blob/main/images/info_images/info1.jpeg?raw=true,5
2,https://github.com/Pbang91/cakooimage/blob/main/images/info_images/info2.jpeg?raw=true,5
3,https://github.com/Pbang91/cakooimage/blob/main/images/info_images/info3.jpeg?raw=true,5
4,https://github.com/Pbang91/cakooimage/blob/main/images/info_images/info4.jpeg?raw=true,5
1,https://github.com/Pbang91/cakooimage/blob/main/images/info_images/info1.jpeg?raw=true,6
2,https://github.com/Pbang91/cakooimage/blob/main/images/info_images/info2.jpeg?raw=true,6
3,https://github.com/Pbang91/cakooimage/blob/main/images/info_images/info3.jpeg?raw=true,6
4,https://github.com/Pbang91/cakooimage/blob/main/images/info_images/info4.jpeg?raw=true,6
1,https://github.com/Pbang91/cakooimage/blob/main/images/info_images/info1.jpeg?raw=true,7
2,https://github.com/Pbang91/cakooimage/blob/main/images/info_images/info2.jpeg?raw=true,7
3,https://github.com/Pbang91/cakooimage/blob/main/images/info_images/info3.jpeg?raw=true,7
4,https://github.com/Pbang91/cakooimage/blob/main/images/info_images/info4.jpeg?raw=true,7
1,https://github.com/Pbang91/cakooimage/blob/main/images/info_images/info1.jpeg?raw=true,8
2,https://github.com/Pbang91/cakooimage/blob/main/images/info_images/info2.jpeg?raw=true,8
3,https://github.com/Pbang91/cakooimage/blob/main/images/info_images/info3.jpeg?raw=true,8
4,https://github.com/Pbang91/cakooimage/blob/main/images/info_images/info4.jpeg?raw=true,8
